,split_index,avg_valid_mse,best_params,avg_test_mse,test_mses
0,0,0.9362361897703024,"{'max_depth': 7, 'learning_rate': 0.07808153347780407, 'booster': 'dart', 'gamma': 0.01612405675853951, 'min_child_weight': 5, 'subsample': 0.77247986684188, 'colsample_bytree': 0.23186873508728129, 'reg_alpha': 1.870540131976841e-08, 'reg_lambda': 0.0002809918115882863}",0.7828309318821433,"[0.7915621329309664, 0.7912485448128551, 0.7646226708309394, 0.7821738410497515, 0.7845474697862043]"
1,1,0.8865208286146842,"{'max_depth': 5, 'learning_rate': 0.21617285074968057, 'booster': 'dart', 'gamma': 5.5065043595421394e-08, 'min_child_weight': 3, 'subsample': 0.8912388264641443, 'colsample_bytree': 0.21510408216024382, 'reg_alpha': 1.0129856967843222e-08, 'reg_lambda': 0.005127532079345039}",0.981087718279112,"[0.9832266515406356, 0.9666745800643577, 1.0015924489046084, 0.9857335686266919, 0.9682113422592662]"
2,2,0.9055416392069835,"{'max_depth': 9, 'learning_rate': 0.1192726246218468, 'booster': 'gbtree', 'gamma': 5.089602878122264e-08, 'min_child_weight': 4, 'subsample': 0.8551705351265734, 'colsample_bytree': 0.2150072898959674, 'reg_alpha': 0.19683058225629257, 'reg_lambda': 6.797932053513514e-06}",0.8554473758152534,"[0.8527810380402256, 0.8486297935613509, 0.8622798336117591, 0.8474449097362519, 0.8661013041266791]"
3,3,0.9172774376027615,"{'max_depth': 7, 'learning_rate': 0.00209340972038316, 'booster': 'gblinear', 'gamma': 0.0015016895780286098, 'min_child_weight': 9, 'subsample': 0.2633934664688499, 'colsample_bytree': 0.8539260242186083, 'reg_alpha': 1.6550207453270456e-05, 'reg_lambda': 0.0009020113153274227}",0.9815282627642101,"[0.9815296260626343, 0.9815291982620834, 0.9815271118210721, 0.9815278650972756, 0.9815275125779857]"
4,4,0.8392862294390806,"{'max_depth': 9, 'learning_rate': 0.08208352407932225, 'booster': 'dart', 'gamma': 0.07151997761996139, 'min_child_weight': 2, 'subsample': 0.8462075822902304, 'colsample_bytree': 0.23342562603681077, 'reg_alpha': 5.8760268565244896e-08, 'reg_lambda': 5.5745041313612405e-05}",1.0199465142516035,"[1.018864483496003, 1.031269598661698, 1.019639978212089, 1.0263639039056278, 1.0035946069826]"
