,split_index,avg_valid_mse,best_params,avg_test_mse,test_mses
0,0,1.268454652349082,"{'max_depth': 5, 'learning_rate': 2.2719187786367736e-08, 'booster': 'dart', 'gamma': 1.1873698451007593e-05, 'min_child_weight': 4, 'subsample': 0.527880702108532, 'colsample_bytree': 0.6468199984993412, 'reg_alpha': 0.0010100163603101976, 'reg_lambda': 5.583671371210223e-05}",1.1760355332065988,"[1.176035533700568, 1.1760355336381976, 1.1760355336795072, 1.176035532927567, 1.176035532087155]"
1,1,1.235160320768117,"{'max_depth': 9, 'learning_rate': 0.0002722303839919051, 'booster': 'gbtree', 'gamma': 4.514661113302694e-05, 'min_child_weight': 4, 'subsample': 0.2121726725252195, 'colsample_bytree': 0.21511759597358904, 'reg_alpha': 0.00012456363616117688, 'reg_lambda': 3.8803699580514445e-07}",1.2300323833007791,"[1.2303504208517602, 1.229560631806317, 1.2299436635063268, 1.2303652934461415, 1.2299419068933501]"
2,2,1.2746182977644502,"{'max_depth': 9, 'learning_rate': 2.127674877643586e-07, 'booster': 'gblinear', 'gamma': 3.644820389911837e-05, 'min_child_weight': 7, 'subsample': 0.9056084581533337, 'colsample_bytree': 0.3639737441579433, 'reg_alpha': 0.00015472834769698955, 'reg_lambda': 0.8613815089697838}",1.1512460425296698,"[1.1512460425296698, 1.1512460425296698, 1.1512460425296698, 1.1512460425296698, 1.1512460425296698]"
3,3,1.1712538773216914,"{'max_depth': 3, 'learning_rate': 2.2576409496337994e-05, 'booster': 'gblinear', 'gamma': 0.07266955113476965, 'min_child_weight': 7, 'subsample': 0.9135494926184833, 'colsample_bytree': 0.4030322607856384, 'reg_alpha': 3.1015177309675094e-05, 'reg_lambda': 2.381525492469632e-08}",1.3162397401264556,"[1.316239724924191, 1.3162397025993684, 1.3162397465684759, 1.3162397779328427, 1.3162397486074]"
4,4,1.08783790335167,"{'max_depth': 3, 'learning_rate': 0.0034600241489806723, 'booster': 'dart', 'gamma': 9.740803200079512e-07, 'min_child_weight': 7, 'subsample': 0.627949475443289, 'colsample_bytree': 0.26165099588761986, 'reg_alpha': 0.00019388884481731221, 'reg_lambda': 2.991711283431863e-06}",1.1681672639913834,"[1.1692438292227654, 1.167076475806087, 1.1670364924431125, 1.1690296407368952, 1.1684498817480555]"
