,split_index,avg_valid_mse,best_params,avg_test_mse,test_mses
0,0,0.904187773218686,"{'n_layers': 1, 'weight_decay': 4.000773357764693e-05, 'n_nodes_1': 115, 'dropout_1': 0.7106309431008222, 'learning_rate': 0.010709487890234565}",0.7314483581446121,"[0.7173794940164379, 0.7311892477755906, 0.7519669721977194, 0.725059681518672, 0.7316463952146407]"
1,1,0.8531187266700861,"{'n_layers': 1, 'weight_decay': 0.0007293108253681383, 'n_nodes_1': 118, 'dropout_1': 0.6418293450951889, 'learning_rate': 0.01683748168406729}",0.9539332254500683,"[0.9653407957648314, 0.9537717922314584, 0.9453337685522577, 0.9623214392473324, 0.9428983314544619]"
2,2,0.869927758380842,"{'n_layers': 1, 'weight_decay': 0.0004744198609424158, 'n_nodes_1': 103, 'dropout_1': 0.6240097487095005, 'learning_rate': 0.011958153850143274}",0.8253279368362879,"[0.8128471569181003, 0.839487410126061, 0.8210546885717451, 0.8307846662457381, 0.8224657623197951]"
3,3,0.8819578212618546,"{'n_layers': 3, 'weight_decay': 4.5028244086139103e-10, 'n_nodes_1': 73, 'dropout_1': 0.24967134654060344, 'n_nodes_2': 113, 'dropout_2': 0.6732896949259332, 'n_nodes_3': 14, 'dropout_3': 0.7224820994660652, 'learning_rate': 0.005484393672256135}",0.959851036336592,"[0.9742186919711211, 0.9669469882671239, 0.933631463671515, 0.9600418263973727, 0.9644162113758268]"
4,4,0.8300327778663947,"{'n_layers': 1, 'weight_decay': 0.00044267002665088586, 'n_nodes_1': 104, 'dropout_1': 0.7046498610061899, 'learning_rate': 0.016094857531802835}",0.9703998999311964,"[0.9613082530852283, 0.9752462763967181, 0.9673521953530935, 0.9782818050278004, 0.969810969793141]"
