,split_index,avg_valid_mse,best_params,avg_test_mse,test_mses
0,0,0.9631669242140374,"{'n_estimators': 238, 'max_depth': 25, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_leaf_nodes': 15}",0.7828024991612115,"[0.7845654891076138, 0.785525177106432, 0.7815819039330566, 0.7823193034063689, 0.7800206222525863]"
1,1,0.8959114108457855,"{'n_estimators': 230, 'max_depth': 14, 'min_samples_split': 4, 'min_samples_leaf': 2, 'max_leaf_nodes': 92}",0.9640442135550069,"[0.9635086455570603, 0.9659564659946485, 0.9630703193008004, 0.9621197432410271, 0.9655658936814983]"
2,2,0.9344064875229938,"{'n_estimators': 257, 'max_depth': 28, 'min_samples_split': 6, 'min_samples_leaf': 3, 'max_leaf_nodes': 71}",0.9053789488432912,"[0.9039354782409448, 0.9139762051194591, 0.9005904184695339, 0.9060577240528581, 0.9023349183336595]"
3,3,0.9368767487491618,"{'n_estimators': 70, 'max_depth': 25, 'min_samples_split': 5, 'min_samples_leaf': 14, 'max_leaf_nodes': 33}",1.009819569704422,"[1.0027327009774667, 1.0087074230241424, 1.0119123097268024, 1.0169949776010234, 1.0087504371926752]"
4,4,0.8691756277290323,"{'n_estimators': 191, 'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_leaf_nodes': 58}",1.0359826804781096,"[1.0352016871827885, 1.0321584313372296, 1.0407641156297636, 1.0349585031369313, 1.036830665103835]"
