,split_index,avg_valid_mse,best_params,avg_test_mse,test_mses
0,0,0.990282509047636,"{'n_estimators': 25, 'max_depth': 4, 'min_samples_split': 8, 'min_samples_leaf': 1, 'max_leaf_nodes': 38}",0.7938262489816258,"[0.7814718247136153, 0.8016534684764975, 0.7784084809138313, 0.8088887738303674, 0.7987086969738173]"
1,1,0.955521156948613,"{'n_estimators': 19, 'max_depth': 22, 'min_samples_split': 224, 'min_samples_leaf': 2, 'max_leaf_nodes': 29}",0.9952979168325753,"[0.9824010957967501, 0.9919135215797921, 0.9880214821555635, 1.0127272037888662, 1.0014262808419043]"
2,2,0.9402314533965679,"{'n_estimators': 267, 'max_depth': 31, 'min_samples_split': 7, 'min_samples_leaf': 2, 'max_leaf_nodes': 31}",0.9031842331175479,"[0.9062267110311764, 0.9016413034075772, 0.9030249202581481, 0.9028955541134472, 0.9021326767773913]"
3,3,1.0673130831774817,"{'n_estimators': 1, 'max_depth': 16, 'min_samples_split': 834, 'min_samples_leaf': 1, 'max_leaf_nodes': 69}",1.2056215087979438,"[1.134916494872218, 1.2941016287421359, 1.1932682713597336, 1.27736434129944, 1.1284568077161925]"
4,4,0.9895365506675237,"{'n_estimators': 3, 'max_depth': 34, 'min_samples_split': 9, 'min_samples_leaf': 112, 'max_leaf_nodes': 45}",1.0464839852851928,"[1.0444107868020536, 1.0537749428533991, 1.0362011092938985, 1.050711712028591, 1.047321375448022]"
