,split_index,avg_valid_mse,best_params,avg_test_mse,test_mses
0,0,1.048472555785278,"{'n_layers': 2, 'weight_decay': 8.258430856805764e-09, 'n_nodes_1': 6, 'dropout_1': 0.7108458751065808, 'n_nodes_2': 11, 'dropout_2': 0.5911221058961078, 'learning_rate': 1.1011374622406174e-07}",0.8930292334030987,"[0.92164155167884, 0.874867008551622, 0.8549799484264182, 0.8733935640227636, 0.9402640943358497]"
1,1,0.9411147865409758,"{'n_layers': 2, 'weight_decay': 0.0001100722381358359, 'n_nodes_1': 100, 'dropout_1': 0.8523178002301399, 'n_nodes_2': 12, 'dropout_2': 0.026152915427119616, 'learning_rate': 0.027419824501603164}",1.0049452125515512,"[1.0239692595501084, 0.9698913245933276, 1.0275501150782647, 0.988696757893836, 1.01461860564222]"
2,2,1.0452776680968072,"{'n_layers': 1, 'weight_decay': 1.9725870021657025e-10, 'n_nodes_1': 81, 'dropout_1': 0.2972172326377013, 'learning_rate': 2.2891334332697413e-08}",0.9339969178574441,"[0.9091884002893718, 0.9267780282277718, 0.9243652478823894, 0.9963513660073217, 0.9133015468803657]"
3,3,0.9647446920692,"{'n_layers': 3, 'weight_decay': 0.0008549012676763015, 'n_nodes_1': 118, 'dropout_1': 0.6126010361731035, 'n_nodes_2': 5, 'dropout_2': 0.7550243622973795, 'n_nodes_3': 6, 'dropout_3': 0.7088430523698004, 'learning_rate': 1.9141027738112744e-06}",1.1433024004633092,"[1.1535630549547218, 1.142955546967621, 1.1428934929383332, 1.1367082086289388, 1.1403916988269305]"
4,4,0.9815569764065849,"{'n_layers': 2, 'weight_decay': 2.6406407712837215e-08, 'n_nodes_1': 8, 'dropout_1': 0.9360358865794542, 'n_nodes_2': 25, 'dropout_2': 0.4297485728132624, 'learning_rate': 0.00027234972812511187}",1.0455477401988758,"[1.0470250838864428, 1.0438529567795038, 1.0417199992808903, 1.0474477153954531, 1.0476929456520885]"
